region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,serbianCroatian,serbianCroatian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
NE,1.0,6706.0,0.092,129245.0,0.008,8269.0,0.085,124.0,0.727,6504.0,0.09699999999999999,10457.0,0.077,1623.0,0.196,1941.0,0.19,3810.0,0.129,1066.0,0.247,7195.0,0.094
NW,1.0,33833.0,0.019,477.0,0.501,907.0,0.37799999999999995,186.0,0.792,1725.0,0.263,419.0,0.563,598.0,0.507,554.0,0.5,401.0,0.535,NaN,NaN,1620.0,0.28600000000000003
OW,1.0,29115.0,0.019,311.0,0.642,616.0,0.475,NaN,NaN,1166.0,0.33299999999999996,981.0,0.374,437.0,0.5579999999999999,544.0,0.515,261.0,0.73,NaN,NaN,1078.0,0.364
SG,1.0,373889.0,0.006999999999999999,4572.0,0.16899999999999998,15490.0,0.094,1050.0,0.344,17959.0,0.086,6068.0,0.152,18262.0,0.086,19479.0,0.087,6002.0,0.152,5098.0,0.166,25490.0,0.07400000000000001
SH,1.0,60725.0,0.017,1099.0,0.335,2803.0,0.213,NaN,NaN,3992.0,0.18,663.0,0.45899999999999996,2572.0,0.22699999999999998,2279.0,0.249,954.0,0.371,1182.0,0.336,5006.0,0.165
SO,1.0,202103.0,0.009000000000000001,6164.0,0.14300000000000002,10848.0,0.10800000000000001,345.0,0.618,10160.0,0.114,2317.0,0.244,7055.0,0.141,8736.0,0.133,2747.0,0.221,4158.0,0.184,14695.0,0.098
SZ,1.0,119704.0,0.011000000000000001,2747.0,0.21100000000000002,4225.0,0.17300000000000001,459.0,0.516,8791.0,0.11699999999999999,1742.0,0.281,4054.0,0.182,3086.0,0.222,1713.0,0.276,935.0,0.387,7798.0,0.128
TG,1.0,209154.0,0.006,2848.0,0.149,9723.0,0.081,350.0,0.41600000000000004,9558.0,0.083,4751.0,0.12,4464.0,0.12300000000000001,9698.0,0.087,2766.0,0.154,2566.0,0.165,13625.0,0.069
TI,1.0,30986.0,0.040999999999999995,14219.0,0.063,264683.0,0.005,326.0,0.425,12799.0,0.068,7680.0,0.08900000000000001,7906.0,0.08800000000000001,2901.0,0.152,6918.0,0.09300000000000001,1114.0,0.237,11328.0,0.073
UR,1.0,27881.0,0.02,215.0,0.746,770.0,0.40399999999999997,NaN,NaN,1131.0,0.33899999999999997,768.0,0.429,661.0,0.47200000000000003,NaN,NaN,199.0,0.8690000000000001,327.0,0.648,1107.0,0.355
VD,1.0,34242.0,0.040999999999999995,548015.0,0.005,33260.0,0.043,310.0,0.467,60534.0,0.031,49967.0,0.036000000000000004,10675.0,0.079,15732.0,0.067,25819.0,0.05,3802.0,0.133,44907.0,0.038
VS,1.0,72841.0,0.025,195519.0,0.01,12752.0,0.07,168.0,0.603,11865.0,0.073,24668.0,0.05,4199.0,0.128,5208.0,0.11800000000000001,4158.0,0.124,561.0,0.368,10384.0,0.08
ZG,1.0,84855.0,0.012,3509.0,0.132,4592.0,0.115,291.0,0.44799999999999995,13917.0,0.065,2627.0,0.159,4192.0,0.126,2069.0,0.188,2177.0,0.172,1004.0,0.26,9209.0,0.081
ZH,1.0,1033170.0,0.005,41653.0,0.055,72803.0,0.042,3791.0,0.18100000000000002,127602.0,0.031,32142.0,0.065,38425.0,0.059000000000000004,44494.0,0.057,36937.0,0.06,19713.0,0.084,112150.0,0.033
CH,1.0,4479599.0,0.002,1626953.0,0.004,593729.0,0.01,35311.0,0.055,480054.0,0.013999999999999999,254171.0,0.019,170335.0,0.025,203255.0,0.024,176007.0,0.023,78416.0,0.038,464541.0,0.015
